scope,document,field,precision,recall,f1,levenshtein,TP,FP,FN
document,a1_189340,unit,0.14285714285714285,0.16666666666666666,0.15384615384615383,0.2714285714285714,1,6,5
document,a1_189340,eventDescription,0.0,0.0,0.0,0.1377977612449662,0,7,6
document,a1_189340,eventType,0.42857142857142855,0.5,0.4615384615384615,0.7857142857142857,3,4,3
document,a1_1960,quantity,1.0,1.0,1.0,1.0,2,0,0
document,a1_1960,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_1960,unit,1.0,1.0,1.0,1.0,2,0,0
document,a1_1960,eventDescription,0.0,0.0,0.0,0.2265210043457267,0,2,2
document,a1_1960,eventType,0.5,0.5,0.5,0.9166666666666667,1,1,1
document,a1_201095,quantity,1.0,1.0,1.0,1.0,4,0,0
document,a1_201095,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_201095,unit,0.6666666666666666,0.5,0.5714285714285715,0.6842105263157895,2,1,2
document,a1_201095,eventDescription,0.25,0.25,0.25,0.6333333333333333,1,3,3
document,a1_201095,eventType,0.25,0.25,0.25,0.875,1,3,3
document,a1_205892,quantity,1.0,0.5,0.6666666666666666,0.5,2,0,2
document,a1_205892,modifier,0.0,0.0,0.0,0.0,0,0,3
document,a1_205892,unit,1.0,0.5,0.6666666666666666,0.5,2,0,2
document,a1_205892,eventDescription,0.0,0.0,0.0,0.3611111111111111,0,2,4
document,a1_205892,eventType,0.0,0.0,0.0,0.4166666666666667,0,2,4
document,a1_208607,quantity,1.0,1.0,1.0,1.0,8,0,0
document,a1_208607,modifier,0.0,0.0,0.0,0.0,0,1,1
document,a1_208607,unit,0.8,0.5,0.6153846153846154,0.5657894736842105,4,1,4
document,a1_208607,eventDescription,0.25,0.25,0.25,0.5612139906452177,2,6,6
document,a1_208607,eventType,0.375,0.375,0.375,0.8958333333333334,3,5,5
document,a1_208608,quantity,0.8571428571428571,1.0,0.923076923076923,0.8571428571428571,6,1,0
document,a1_208608,modifier,0.0,0.0,0.0,0.0,0,0,2
document,a1_208608,unit,0.42857142857142855,0.5,0.4615384615384615,0.6914217361585783,3,4,3
document,a1_208608,eventDescription,0.0,0.0,0.0,0.32249101013403075,0,7,6
document,a1_208608,eventType,0.0,0.0,0.0,0.7142857142857143,0,7,6
document,a1_210258,quantity,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6354166666666666,5,2,2
document,a1_210258,modifier,1.0,0.4,0.5714285714285715,0.4,2,0,3
document,a1_210258,unit,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.45760163749294186,2,5,5
document,a1_210258,eventDescription,0.14285714285714285,0.16666666666666666,0.15384615384615383,0.24369812956769477,1,6,5
document,a1_210258,eventType,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.6041666666666666,4,3,2
document,a1_215448,quantity,1.0,0.5714285714285714,0.7272727272727273,0.5714285714285714,4,0,3
document,a1_215448,modifier,0.0,0.0,0.0,0.0,0,0,1
document,a1_215448,unit,0.5,0.2857142857142857,0.36363636363636365,0.5024630541871921,2,2,5
document,a1_215448,eventDescription,0.0,0.0,0.0,0.2017954722872756,0,4,7
document,a1_215448,eventType,1.0,0.5714285714285714,0.7272727272727273,0.5714285714285714,4,0,3
document,a1_219067,quantity,0.0,0.0,0.0,0.0,0,0,0
document,a1_219067,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_219067,unit,0.0,0.0,0.0,0.0,0,0,0
document,a1_219067,eventDescription,0.0,0.0,0.0,0.0,0,0,0
document,a1_219067,eventType,0.0,0.0,0.0,0.0,0,0,0
document,a1_219351,quantity,0.7142857142857143,1.0,0.8333333333333333,0.7142857142857143,5,2,0
document,a1_219351,modifier,0.0,0.0,0.0,0.0,0,1,0
document,a1_219351,unit,0.0,0.0,0.0,0.15934065934065936,0,4,5
document,a1_219351,eventDescription,0.14285714285714285,0.2,0.16666666666666666,0.44116579558652724,1,6,4
document,a1_219351,eventType,0.7142857142857143,1.0,0.8333333333333333,0.7142857142857143,5,2,0
